gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
MRFAP1	0.3382	0.00627	0.00807	0.4057	0.0008807	0.00131	97	-0.14	25.66	0.42	64
MRFAP1L1	0.4651	0.0001077	0.00017	0.5198	1.075e-05	2.07e-05	108.04	-0.07	25.99	0.53	64
MRGBP	0.7007	1.15e-10	4.14e-10	0.5733	7.389e-07	1.66e-06	45.97	0.05	15.6	0.21	64
MRI1	0.827	3.791e-17	4.77e-16	0.8343	1.105e-17	1.06e-16	27.12	0.03	11.7	0.37	64
MRM1	0.6739	1.044e-09	3.2e-09	0.7523	7.664e-13	3.86e-12	19.81	-0.19	7.94	0.47	64
MRM2	0.1792	0.1565	0.175	0.2815	0.02422	0.0302	0.68	-0.07	0.38	0.3	64
MRM3	0.4772	6.697e-05	0.000108	0.3619	0.003302	0.00457	32.32	0.04	9.51	0.28	64
MRNIP	0.6311	2.265e-08	5.82e-08	0.6095	9.046e-08	2.3e-07	8.82	0.2	4.08	0.41	64
MROH1	0.7022	1.009e-10	3.66e-10	0.6697	1.44e-09	4.69e-09	8.36	0.13	6.75	0.51	64
MRPL1	0.5491	2.621e-06	5.03e-06	0.5745	6.924e-07	1.57e-06	63.67	-0.01	29.1	0.21	64
MRPL10	0.4483	0.0002035	0.00031	0.4629	0.0001172	0.000196	43.77	0.07	13.12	0.22	64
MRPL11	0.3409	0.005834	0.00753	0.3268	0.00839	0.0111	67.5	-0.07	24.54	0.2	64
MRPL12	-0.2235	0.07589	0.0877	-0.2501	0.04628	0.0558	2.1	0.06	1.47	0.42	64
MRPL13	0.1846	0.1443	0.162	0.1609	0.204	0.227	30.49	-0.05	10.98	0.2	64
MRPL14	0.2223	0.07745	0.0894	0.2567	0.04058	0.0493	121.27	-0.09	49.56	0.25	64
MRPL15	0.2491	0.04717	0.0557	0.2129	0.09126	0.106	108.05	-0.05	36.54	0.22	64
MRPL16	-0.0427	0.7379	0.756	-0.072	0.5719	0.598	85.2	-0.03	34.45	0.27	64
MRPL17	0.0567	0.6561	0.678	0.0599	0.6383	0.662	65.53	-0.02	19.31	0.24	64
MRPL18	0.102	0.4224	0.449	0.0705	0.5798	0.606	128.25	0.01	34.5	0.19	64
MRPL19	-0.0518	0.6846	0.705	-0.0229	0.8572	0.869	29.13	-0.02	8.31	0.24	64
MRPL20	0.1049	0.4096	0.436	0.0305	0.8107	0.826	59.53	-0.05	17.5	0.2	64
MRPL21	0.2636	0.0353	0.0422	0.3345	0.006905	0.00921	32.35	0	10.91	0.23	64
MRPL22	-0.0514	0.6869	0.707	-0.0981	0.4407	0.469	11.38	0.02	3	0.19	64
MRPL23	0.487	0.0001409	0.000218	0.4561	0.000411	0.00064	7.92	-0.21	2.9	0.44	56
MRPL24	0.3228	0.009283	0.0117	0.3015	0.01547	0.0198	77.14	-0.06	28.93	0.35	64
MRPL27	0.1983	0.1162	0.131	0.163	0.198	0.22	48.43	-0.04	13.51	0.2	64
MRPL28	0.1695	0.1804	0.2	0.1797	0.1553	0.175	33.05	-0.05	11.64	0.3	64
MRPL3	0.3379	0.006317	0.00812	0.2489	0.04738	0.057	165.05	-0.08	70.5	0.21	64
MRPL32	0.1681	0.1843	0.204	0.1303	0.3047	0.332	40.41	-0.05	11.01	0.28	64
MRPL33	-0.0317	0.8038	0.819	-0.0807	0.5263	0.553	63.03	0.01	25.46	0.37	64
MRPL34	0.1968	0.119	0.134	0.1827	0.1485	0.168	28.9	-0.06	6.9	0.39	64
MRPL35	0.1539	0.2247	0.246	0.0986	0.4381	0.466	50.89	-0.03	12.93	0.33	64
MRPL37	0.2222	0.07759	0.0895	0.268	0.03227	0.0397	113.06	-0.05	39.13	0.31	64
MRPL38	0.046	0.7183	0.737	-0.0019	0.9878	0.99	5.2	-0.05	1.36	0.21	64
MRPL39	0.3979	0.001129	0.00157	0.3762	0.002187	0.0031	101.67	-0.02	36.35	0.25	64
MRPL4	0.2013	0.1107	0.126	0.223	0.07648	0.0897	21.64	-0.06	7.42	0.2	64
MRPL40	0.4922	3.617e-05	6.02e-05	0.4699	8.956e-05	0.000152	33.51	-0.07	11.16	0.23	64
MRPL41	0.5566	1.789e-06	3.5e-06	0.6661	1.897e-09	6.06e-09	22.82	-0.09	19.87	0.45	64
MRPL42	0.0099	0.9381	0.945	-0.0967	0.4474	0.475	31.64	0.02	12.57	0.21	64
MRPL43	-0.0514	0.6867	0.707	0.026	0.8386	0.852	21.83	-0.03	3.95	0.24	64
MRPL44	0.1958	0.1209	0.137	0.1495	0.2384	0.263	70.35	-0.03	19.06	0.23	64
MRPL45	0.2245	0.07457	0.0863	0.1954	0.1218	0.139	75.76	-0.01	21.39	0.25	64
MRPL46	0.1255	0.3231	0.348	0.1199	0.3454	0.373	4.16	0.02	1.2	0.2	64
MRPL47	0.2081	0.09887	0.113	0.1656	0.191	0.213	103.67	-0.09	36.03	0.3	64
MRPL48	0.0844	0.5075	0.534	-0.0464	0.7159	0.737	27.87	-0.02	10.82	0.27	64
MRPL49	0.2206	0.07978	0.0919	0.3169	0.01072	0.014	66.28	-0.02	24.01	0.26	64
MRPL50	0.2134	0.09044	0.104	0.1259	0.3215	0.349	39.2	-0.04	12.28	0.22	64
MRPL51	0.1454	0.2515	0.274	0.1533	0.2265	0.25	205.26	-0.07	78.53	0.29	64
MRPL52	0.1804	0.1537	0.172	0.1319	0.2988	0.326	28.65	-0.05	7.68	0.31	64
MRPL53	-0.0943	0.4587	0.485	-0.036	0.7779	0.795	0.03	0.06	0.09	0.16	64
MRPL54	0.4111	0.0007404	0.00105	0.3802	0.001941	0.00277	51.75	-0.05	19.01	0.21	64
MRPL55	0.1178	0.3538	0.379	0.0826	0.5166	0.544	23.24	-0.07	6.09	0.21	64
MRPL57	0.0969	0.446	0.473	0.0757	0.552	0.579	55.69	-0.02	18.5	0.25	64
MRPL58	0.1701	0.179	0.199	0.1814	0.1515	0.171	58.09	-0.07	21.48	0.25	64
MRPL9	0.2142	0.08916	0.102	0.1796	0.1556	0.176	101.92	-0.04	34.45	0.25	64
MRPS10	0.1813	0.1516	0.169	0.1351	0.2871	0.314	95.55	0.01	25.62	0.15	64
MRPS11	0.1519	0.231	0.253	0.078	0.5402	0.567	19.14	0.03	4.59	0.18	64
MRPS12	0.1847	0.1439	0.161	0.1731	0.1713	0.192	24.54	0.04	9.65	0.19	64
MRPS14	0.0359	0.778	0.794	0.0423	0.7402	0.759	52.97	0.01	16.88	0.2	64
MRPS15	0.3025	0.01512	0.0187	0.1893	0.1341	0.153	73.3	0.06	22.7	0.18	64
MRPS16	0.1746	0.1675	0.186	0.1727	0.1725	0.194	130.3	-0.06	27.89	0.17	64
MRPS18A	0.3081	0.01326	0.0165	0.3498	0.00461	0.00627	79.96	-0.02	24.9	0.24	64
MRPS18B	0.4302	0.0003887	0.000572	0.438	0.000295	0.000468	126.57	0.02	46.29	0.23	64
MRPS18C	-0.0428	0.7371	0.755	-0.0439	0.7307	0.751	24.94	0.02	6.78	0.32	64
MRPS2	0.3971	0.001157	0.00161	0.4204	0.0005433	0.000833	36.61	-0.04	12.72	0.2	64
MRPS21	0.5851	3.831e-07	8.22e-07	0.6236	3.7e-08	9.89e-08	87.19	0.04	39.92	0.26	64
MRPS22	0.3379	0.006315	0.00812	0.3865	0.001607	0.00232	22.6	0.01	5.8	0.19	64
MRPS23	0.3517	0.00438	0.00573	0.3617	0.00332	0.0046	31.13	-0.03	9.04	0.19	64
MRPS24	0.0085	0.947	0.953	-0.0256	0.8409	0.854	0.96	-0.05	0.34	0.17	64
MRPS25	0.3086	0.0131	0.0163	0.2375	0.05885	0.0699	49.6	0.04	16.06	0.2	64
MRPS26	0.3608	0.003399	0.0045	0.3896	0.001462	0.00212	89.51	0.03	27.24	0.2	64
MRPS27	0.5308	6.419e-06	1.18e-05	0.5745	6.906e-07	1.56e-06	76.41	-0.01	29.55	0.17	64
MRPS28	0.2979	0.0168	0.0207	0.341	0.005829	0.00783	10.86	0.03	4.11	0.21	64
MRPS30	-0.0584	0.6469	0.669	-0.1311	0.3018	0.329	51.44	-0.01	15.04	0.28	64
MRPS31	0.428	0.0004195	0.000615	0.2195	0.08144	0.0952	58.55	-0.06	21.03	0.19	64
MRPS33	0.3589	0.003584	0.00473	0.342	0.005677	0.00764	15.95	0.05	6.77	0.23	64
MRPS34	0.25	0.04634	0.0548	0.2569	0.04047	0.0492	90.71	-0.04	36.86	0.17	64
MRPS35	0.1835	0.1467	0.164	0.1764	0.1632	0.184	129.24	0	48.63	0.17	64
MRPS36	0.0661	0.6038	0.628	0.0237	0.8527	0.865	39.61	0.01	14.29	0.19	64
MRPS5	0.1363	0.283	0.307	0.185	0.1434	0.163	27.7	0.01	5.79	0.18	64
MRPS6	-0.1602	0.2061	0.227	-0.0929	0.4653	0.493	20.85	0.06	9.98	0.19	64
MRPS7	0.3902	0.001435	0.00197	0.3627	0.003223	0.00447	48.87	0.02	13.15	0.17	64
MRPS9	0.2581	0.03949	0.047	0.2435	0.05247	0.0628	74.86	0	27.17	0.18	64
MRRF	0.4531	0.0001704	0.000262	0.4788	6.288e-05	0.000109	14	-0.12	4.4	0.24	64
MRS2	0.6302	2.402e-08	6.14e-08	0.5494	2.589e-06	5.41e-06	23.27	-0.01	10.27	0.52	64
MRTFA	0.5649	1.158e-06	2.33e-06	0.6404	1.206e-08	3.46e-08	28.12	-0.06	11.51	0.29	64
MRTFB	0.4043	0.0009233	0.0013	0.4505	0.0001877	0.000306	8.9	0.17	4.41	0.28	64
MRTO4	0.7012	1.105e-10	3.98e-10	0.6853	4.177e-10	1.46e-09	110.28	-0.01	48.93	0.2	64
MS4A1	0.6356	1.674e-08	4.36e-08	0.6438	9.572e-09	2.78e-08	48.63	-0.97	110.64	1.16	64
MSANTD2	0.6122	7.651e-08	1.82e-07	0.7182	2.388e-11	9.81e-11	14.4	0.12	9.3	0.35	64
MSANTD3	0.5034	0.001089	0.00152	0.4217	0.007506	0.00995	18.38	0.03	7.42	0.37	39
MSANTD4	0.7355	4.462e-12	2.04e-11	0.5834	4.205e-07	9.78e-07	31.55	-0.13	9.48	0.36	64
MSH2	0.7234	1.464e-11	6.15e-11	0.6705	1.352e-09	4.42e-09	42.05	-0.19	23.32	0.68	64
MSH3	0.0643	0.6139	0.637	0.2973	0.01706	0.0217	34.59	-0.13	9.43	0.53	64
MSH6	0.603	1.344e-07	3.08e-07	0.5988	1.73e-07	4.25e-07	182.81	-0.21	141.03	0.78	64
MSI2	0.7168	2.709e-11	1.09e-10	0.7702	1.003e-13	5.66e-13	64.68	0.08	38.52	0.35	64
MSL1	0.5175	1.193e-05	2.11e-05	0.5236	9.017e-06	1.75e-05	63.04	0.1	14.96	0.17	64
MSL2	0.538	4.535e-06	8.45e-06	0.6527	5.086e-09	1.53e-08	76.25	0.07	32.93	0.19	64
MSL3	0.4414	0.0002614	0.000392	0.4772	6.707e-05	0.000116	16.91	0.11	6.13	0.2	64
MSMO1	0.6169	5.697e-08	1.38e-07	0.7389	3.167e-12	1.47e-11	102.81	-0.1	61.7	0.52	64
MSN	0.8379	5.927e-18	9.23e-17	0.8618	6.148e-20	8.81e-19	432.28	0.07	155.86	0.36	64
MSRA	0.849	7.805e-19	1.55e-17	0.9305	9.843e-29	1.08e-26	9.39	-0.03	9.23	0.98	64
MSRB2	0.7068	6.699e-11	2.51e-10	0.5646	1.177e-06	2.57e-06	16.18	0.26	8.57	0.59	64
MSRB3	0.8824	1.128e-13	6.87e-13	0.7657	1.351e-08	3.84e-08	3.62	0.3	7.81	0.8	39
MSTO1	0.2445	0.05151	0.0606	0.0682	0.5924	0.618	19.95	-0.05	5.77	0.28	64
MSX1	0.8368	1.28e-13	7.72e-13	0.8511	1.819e-14	1.12e-13	5.58	0.07	7.89	0.85	48
MT-ATP8	-0.1085	0.3935	0.42	-0.1256	0.3225	0.35	143.91	0.03	70.04	0.15	64
MT-CO1	0.1107	0.3838	0.41	0.1006	0.429	0.457	6940.16	0.07	3233.72	0.5	64
MT-CO2	-0.1539	0.2247	0.246	-0.244	0.05201	0.0623	4201.4	0.05	1693.87	0.37	64
MT-CO3	-0.2536	0.04319	0.0512	-0.2622	0.03636	0.0444	11731.41	-0.07	4531.45	0.43	64
MT-CYB	-0.228	0.2174	0.239	-0.1823	0.3264	0.354	894.74	0	473.5	0.42	31
MT-ND2	-0.235	0.06158	0.0718	-0.2226	0.07704	0.0903	284.75	0.24	203.49	0.38	64
MT-ND3	-0.149	0.2401	0.262	-0.1568	0.216	0.239	736.72	0.14	360.31	0.36	64
MT-ND4	-0.2622	0.04883	0.0576	-0.2768	0.0371	0.0453	836.82	0.05	565.64	0.3	57
MT-ND5	0.0305	0.8108	0.825	0.0392	0.7582	0.777	299.73	0.15	201.82	0.35	64
MT-ND6	0.0437	0.7316	0.75	-0.0747	0.5573	0.584	110.51	-0.12	77.3	0.51	64
MTA1	0.4317	0.0003685	0.000544	0.4235	0.0004881	0.000753	30.87	0.09	9.81	0.18	64
MTA2	0.45	0.0001908	0.000292	0.4908	3.839e-05	6.83e-05	248.37	0.05	79.01	0.12	64
MTA3	0.7339	5.214e-12	2.35e-11	0.7247	1.285e-11	5.47e-11	13.82	-0.17	9.87	0.46	64
MTAP	0.9016	3.068e-24	4.34e-22	0.8745	3.784e-21	6.74e-20	14.68	-0.01	15.26	0.82	64
MTBP	0.568	9.824e-07	2e-06	0.5823	4.484e-07	1.04e-06	20.86	-0.09	9	0.27	64
MTCH1	0.5883	3.195e-07	6.95e-07	0.4673	9.918e-05	0.000167	147.36	-0.05	40.11	0.4	64
MTCH2	-0.0876	0.4914	0.518	0.018	0.8875	0.897	131.33	0.05	35.46	0.18	64
MTCL1	0.8005	2.044e-15	1.74e-14	0.8927	3.867e-23	1.03e-21	38.73	-0.06	67.53	1.03	64
MTDH	0.6814	5.757e-10	1.84e-09	0.5951	2.148e-07	5.2e-07	149.46	-0.03	50.44	0.21	64
MTERF1	0.6897	2.925e-10	9.78e-10	0.5572	1.735e-06	3.71e-06	13.65	-0.19	8.08	0.57	64
MTERF2	0.7705	9.683e-14	5.99e-13	0.7201	1.985e-11	8.24e-11	11.08	0.01	6.61	0.69	64
MTERF3	0.6483	6.965e-09	1.92e-08	0.6329	2.013e-08	5.59e-08	70.17	-0.1	25.36	0.35	64
MTERF4	-0.1005	0.4294	0.456	-0.0861	0.4986	0.526	16.11	0.03	4.37	0.27	64
MTF1	0.2656	0.03388	0.0406	0.2411	0.05494	0.0656	9.88	0.08	3.83	0.27	64
MTF2	0.5952	2.139e-07	4.77e-07	0.5683	9.679e-07	2.14e-06	120.63	0.04	53.21	0.33	64
MTFMT	0.3472	0.004944	0.00643	0.3266	0.008429	0.0111	17.42	0.07	4.32	0.22	64
MTFP1	0.4606	0.0001281	2e-04	0.4871	4.475e-05	7.9e-05	2.48	0.09	1.12	0.31	64
MTFR1	0.7279	9.415e-12	4.1e-11	0.6237	3.689e-08	9.87e-08	22.13	0.05	9.5	0.29	64
MTFR1L	0.6253	3.313e-08	8.32e-08	0.4529	0.0001712	0.000281	16.26	0.23	5.19	0.34	64
MTFR2	0.6253	3.33e-08	8.35e-08	0.5703	8.684e-07	1.93e-06	22.53	-0.23	9.73	0.38	64
MTG1	0.1888	0.1351	0.152	0.1498	0.2374	0.262	7.52	-0.12	2.55	0.29	64
MTG2	0.3279	0.00817	0.0104	0.2825	0.02373	0.0297	14.39	-0.22	3.99	0.27	64
MTHFD1	0.7541	6.326e-13	3.32e-12	0.7387	3.212e-12	1.49e-11	43.01	-0.05	18.66	0.24	64
MTHFD1L	0.559	1.581e-06	3.12e-06	0.6389	1.337e-08	3.81e-08	51.49	-0.07	20.66	0.35	64
MTHFD2	0.7705	9.759e-14	6.03e-13	0.7576	4.27e-13	2.23e-12	180.57	-0.09	82.31	0.33	64
MTHFD2L	0.2926	0.02719	0.0329	0.3088	0.01943	0.0245	8.92	-0.1	3.6	0.29	57
MTHFR	0.7992	2.468e-15	2.07e-14	0.7678	1.343e-13	7.46e-13	12.82	0.15	7.78	0.38	64
MTHFS	0.4623	0.0007256	0.00103	0.5122	0.0001432	0.000237	1.64	0.08	1.06	0.32	50
MTHFSD	0.5578	1.682e-06	3.3e-06	0.5949	2.177e-07	5.26e-07	10.76	0.11	2.9	0.32	64
MTIF2	0.47	8.914e-05	0.000142	0.4298	0.0003941	0.000615	64.45	0.01	19.91	0.25	64
MTIF3	0.5798	5.157e-07	1.09e-06	0.3693	0.002671	0.00375	72.46	0.19	36.97	0.32	64
MTM1	0.6735	1.076e-09	3.29e-09	0.6474	7.401e-09	2.19e-08	27.85	0.19	13.1	0.41	64
MTMR1	0.8498	6.77e-19	1.38e-17	0.8589	1.126e-19	1.53e-18	31.59	0.19	12.92	0.34	64
MTMR10	0.6584	3.357e-09	9.66e-09	0.6348	1.774e-08	4.96e-08	25.07	-0.06	10.95	0.46	64
MTMR12	0.7645	1.962e-13	1.14e-12	0.7376	3.609e-12	1.67e-11	34.58	0.19	12.73	0.31	64
MTMR14	0.7853	1.559e-14	1.12e-13	0.8186	1.439e-16	1.17e-15	36.29	0.13	13.22	0.31	64
MTMR2	0.5404	4.048e-06	7.6e-06	0.4778	6.524e-05	0.000112	25.97	-0.04	8.55	0.33	64
MTMR3	0.4708	8.618e-05	0.000138	0.5337	5.605e-06	1.12e-05	28	0.07	10.04	0.16	64
MTMR4	0.3297	0.007803	0.00994	0.3558	0.003908	0.00536	88.71	-0.13	20.62	0.24	64
MTMR6	0.5822	4.506e-07	9.57e-07	0.6141	6.806e-08	1.76e-07	41.24	0.06	17.47	0.21	64
MTMR8	0.8002	2.139e-15	1.81e-14	0.7728	7.405e-14	4.27e-13	7.96	-0.39	6.98	0.96	64
MTMR9	0.4612	0.0001253	0.000196	0.4616	0.0001235	0.000206	20.9	0.05	6.28	0.21	64
MTO1	0.3791	0.002005	0.00271	0.4047	0.000911	0.00136	19.63	-0.01	7.11	0.27	64
MTOR	0.1278	0.3143	0.339	0.061	0.6319	0.656	64.86	0.08	20.16	0.12	64
MTPAP	0.4474	0.0002103	0.00032	0.4048	0.000907	0.00135	26.94	-0.01	8.3	0.22	64
MTPN	0.5701	8.77e-07	1.79e-06	0.59	2.894e-07	6.9e-07	233.73	0.07	96.01	0.19	64
MTR	0.3116	0.0122	0.0152	0.1813	0.1517	0.172	56.28	0.03	15.04	0.21	64
MTREX	0.4385	0.0002897	0.000432	0.3787	0.00203	0.00289	86.48	-0.03	22.58	0.12	64
MTRF1	0.7123	4.109e-11	1.59e-10	0.3723	0.002454	0.00345	23.92	-0.22	10.76	0.31	64
MTRF1L	-0.0946	0.4574	0.484	0.0076	0.9528	0.958	16.91	0.05	4.65	0.19	64
MTRR	0.184	0.1455	0.163	0.0963	0.4489	0.477	33.94	-0.07	13.14	0.33	64
MTSS1	0.8233	7.092e-10	2.23e-09	0.6921	2.922e-06	6.05e-06	2.11	-0.19	3.45	0.82	36
MTSS2	0.8136	3.082e-16	3.11e-15	0.8934	3.202e-23	8.65e-22	12.33	-0.16	13.58	0.88	64
MTURN	0.6603	1.818e-07	4.09e-07	0.7189	4.106e-09	1.25e-08	7.04	-0.24	8.84	1	50
MTUS1	0.861	1.616e-11	6.74e-11	0.8106	2.072e-09	6.59e-09	2.44	-0.17	2.94	0.87	36
MTUS2	0.7779	4.215e-13	2.3e-12	0.698	8.037e-10	2.71e-09	3.66	-0.11	6.89	0.78	59
MTX1	0.4278	0.0004219	0.000619	0.423	0.0004965	0.000765	13.84	-0.07	4.43	0.45	64
MTX2	0.8405	3.736e-18	6.18e-17	0.7921	6.432e-15	4.22e-14	50.01	-0.06	24.63	0.43	64
MTX3	0.8187	1.419e-16	1.55e-15	0.6351	1.729e-08	4.84e-08	5.94	-0.95	10.5	1.12	64
MUC5B	0.1489	0.3124	0.337	0.1889	0.1984	0.221	0.02	0.07	0.13	0.18	48
MUL1	0.6813	5.809e-10	1.85e-09	0.5606	1.455e-06	3.15e-06	21.92	-0.05	11.72	0.4	64
MUS81	0.1867	0.1397	0.157	0.1663	0.1892	0.211	33.47	0.11	9.2	0.26	64
MUTYH	0.1699	0.2703	0.293	0.3653	0.01475	0.0189	27.04	0.01	8.94	0.39	44
MVB12A	0.0981	0.4404	0.467	0.1189	0.3495	0.377	14.08	0.16	5.9	0.49	64
MVB12B	0.6342	1.841e-08	4.77e-08	0.6999	1.236e-10	4.61e-10	11.04	0.08	14.17	0.66	64
MVD	0.6299	2.459e-08	6.28e-08	0.6228	3.914e-08	1.04e-07	17.03	-0.04	9.14	0.3	64
MVK	0.6578	3.506e-09	1.01e-08	0.5892	3.019e-07	7.18e-07	10.67	-0.09	3.94	0.31	64
MVP	0.6221	4.074e-08	1.01e-07	0.5016	2.418e-05	4.42e-05	6.35	-1.08	11.9	0.89	64
MX1	0.2735	0.02876	0.0347	0.2147	0.08851	0.103	9.57	-2.1	20.06	1.32	64
MX2	0.5071	1.899e-05	3.26e-05	0.4944	3.296e-05	5.92e-05	8.69	-1.11	11.34	0.88	64
MXD3	0.5748	2.931e-06	5.59e-06	0.5866	1.626e-06	3.49e-06	16.21	-0.02	10.08	0.45	57
MXD4	0.5425	0.0002478	0.000373	0.4181	0.006522	0.00873	10.36	-0.2	5.08	0.36	41
MXI1	0.692	2.939e-06	5.61e-06	0.7277	4.947e-07	1.14e-06	13.69	0.02	9.88	0.3	36
MXRA7	0.8778	1.741e-21	8.39e-20	0.8937	2.931e-23	7.96e-22	9.18	-0.2	9.44	1.06	64
MXRA8	0.776	5.152e-06	9.54e-06	0.3938	0.05144	0.0617	0.36	0.23	0.72	0.61	25
MYADM	0.4598	0.000364	0.000537	0.5766	3.312e-06	6.8e-06	23.54	-0.03	18.84	0.63	56
MYB	0.791	7.409e-15	5.72e-14	0.8515	4.865e-19	5.91e-18	390.49	-0.08	260.64	0.46	64
MYBBP1A	0.5675	1.011e-06	2.05e-06	0.5163	1.257e-05	2.4e-05	45.87	-0.02	18.48	0.29	64
MYBL1	0.4806	0.0004115	0.000604	0.6218	1.438e-06	3.12e-06	11.6	-0.29	11.23	0.58	50
MYBL2	0.5882	3.207e-07	6.97e-07	0.5484	2.717e-06	5.66e-06	204.6	-0.02	136.56	0.3	64
MYBPH	0.7503	1.061e-08	2.84e-08	0.5661	9.33e-05	0.000158	11.73	-0.34	28.43	1.55	42
MYC	0.5761	6.338e-07	1.32e-06	0.6068	1.065e-07	2.69e-07	221.5	0	161.33	0.48	64
MYCBP2	0.7204	1.931e-11	7.96e-11	0.7862	1.4e-14	8.77e-14	111.87	0.04	53.13	0.33	64
MYCN	0.6823	0.0004689	0.000683	0.3983	0.06639	0.0784	5.14	-0.33	12.23	0.7	22
MYD88	0.4845	4.969e-05	8.15e-05	0.6536	4.761e-09	1.44e-08	15.66	0.07	7.5	0.37	64
MYDGF	0.6706	1.34e-09	4.05e-09	0.5526	2.2e-06	4.64e-06	39.62	0.05	16.56	0.28	64
MYEF2	0.8005	2.048e-15	1.74e-14	0.9112	1.452e-25	6.45e-24	9.76	-0.11	10.35	0.92	64
MYF6	-0.384	0.04799	0.0566	-0.1432	0.4761	0.504	0.01	0.14	0.04	0.42	27
MYH10	0.8483	9.02e-19	1.76e-17	0.8355	9.002e-18	8.78e-17	87.82	0.02	50.35	0.5	64
MYH11	0.7773	3.389e-10	1.12e-09	0.1459	0.3388	0.366	0.15	0.05	0.34	0.48	45
MYH14	-0.1025	0.4204	0.447	0.0695	0.5851	0.611	0.02	0.09	0.05	0.35	64
MYH9	0.6457	8.385e-09	2.29e-08	0.6623	2.524e-09	7.96e-09	251.75	0.07	74.63	0.29	64
MYL12A	0.0961	0.5114	0.537	0.123	0.4	0.428	269.52	0.03	148.5	0.27	49
MYL12B	-0.0864	0.4974	0.524	-0.0614	0.6298	0.654	410.87	0	202.32	0.4	64
MYL4	0.7438	1.909e-12	9.26e-12	0.8429	2.435e-18	2.63e-17	3.09	-0.19	7.76	1.23	64
MYL5	0.1624	0.4819	0.509	0.2571	0.2605	0.286	5.88	-0.1	3.63	0.81	21
MYL6	0.535	5.249e-06	9.71e-06	0.5583	1.639e-06	3.52e-06	220.78	0.05	73.49	0.25	64
MYL6B	0.5182	1.156e-05	2.05e-05	0.4539	0.0001649	0.000271	56.6	0.15	19.45	0.29	64
MYL9	0.0693	0.5861	0.611	0.0369	0.7721	0.79	0.05	0.04	0.14	0.29	64
MYLIP	-0.157	0.4854	0.512	0.057	0.801	0.817	25.7	-0.12	18.29	0.35	22
MYLK	0.8477	1.014e-18	1.94e-17	0.9303	1.085e-28	1.14e-26	22.85	-0.33	27.87	1.2	64
MYLK3	0.7001	4.958e-07	1.05e-06	0.4677	0.00234	0.0033	4.44	-0.37	11.25	0.62	40
MYNN	0.3545	0.004056	0.00532	0.2326	0.06437	0.0761	26.03	-0.02	6.99	0.23	64
MYO10	0.8201	1.141e-16	1.29e-15	0.788	1.106e-14	7.05e-14	5.28	-0.64	7.63	1.06	64
MYO18A	0.8674	1.883e-20	6.13e-19	0.8811	7.774e-22	1.57e-20	73.86	0.02	44.03	0.57	64
MYO18B	0.7668	1.496e-13	8.89e-13	0.7124	4.082e-11	1.62e-10	72.59	-0.85	154.15	1.24	64
MYO19	0.2661	0.03358	0.0403	0.3284	0.008067	0.0107	33.17	-0.11	12.64	0.37	64
MYO1B	0.9119	1.137e-25	3.33e-23	0.9096	2.466e-25	1.03e-23	22.9	0.26	23.14	0.86	64
MYO1C	0.6978	1.471e-10	5.19e-10	0.8458	1.425e-18	1.6e-17	6.29	-0.58	7.72	0.63	64
MYO1D	0.6113	8.067e-08	1.91e-07	0.7482	1.2e-12	5.9e-12	3.69	0.23	11.42	0.87	64
MYO1E	0.5	2.595e-05	4.38e-05	0.477	6.736e-05	0.000116	3.62	-0.37	12.01	1.31	64
MYO1F	0.7585	3.899e-13	2.15e-12	0.8958	1.665e-23	4.8e-22	11.58	-0.24	19.34	0.85	64
MYO1G	0.8859	2.36e-22	1.51e-20	0.9129	8.322e-26	3.89e-24	66.11	-0.09	64.48	0.76	64
MYO5A	0.6868	3.702e-10	1.22e-09	0.6376	1.464e-08	4.14e-08	18.33	-0.07	18.15	0.32	64
MYO5C	0.8741	4.179e-21	1.71e-19	0.8856	2.535e-22	5.68e-21	13.23	-0.16	16.83	1.19	64
MYO6	0.6218	4.17e-08	1.03e-07	0.838	5.907e-18	5.93e-17	4.42	-1.77	12.17	1.41	64
MYO7A	0.7832	3.684e-06	6.95e-06	0.5585	0.003715	0.00512	4.75	-0.15	10.8	1.21	25
MYO7B	0.7754	1.429e-12	7.06e-12	0.4009	0.001999	0.00285	30.38	0.09	69.54	1.07	57
MYO9A	0.5004	2.549e-05	4.31e-05	0.5482	2.742e-06	5.71e-06	20.95	0.07	6.46	0.2	64
MYO9B	0.715	3.217e-11	1.27e-10	0.6164	5.86e-08	1.53e-07	59.66	0.15	44.48	0.31	64
MYOF	0.4888	0.000567	0.000816	0.7055	4.366e-08	1.16e-07	0.72	-0.25	2.22	0.76	46
MYOM1	-0.3055	0.02926	0.0353	-0.2695	0.05581	0.0666	2.16	0.09	2.53	0.33	51
MYOM2	0.6092	9.208e-08	2.16e-07	0.687	3.636e-10	1.28e-09	7.07	-0.43	19.96	0.88	64
MYOM3	-0.0827	0.729	0.748	-0.2373	0.3137	0.341	0.01	0.29	0.05	0.82	20
MYORG	0.7914	7.103e-15	5.51e-14	0.8582	1.283e-19	1.72e-18	3.08	-0.27	2.69	0.6	64
MYPOP	0.4354	0.0007121	0.00101	0.411	0.001494	0.00216	6.43	0.18	2.77	0.27	57
